Origin,Destination,Time
HKU,Kennedy Town,2 mins
HKU,Ho Man Tin,23 mins
HKU,Whampoa,25 mins
HKU,Ocean Park,17 mins
HKU,Wong Chuk Hang,19 mins
HKU,Lei Tung,22 mins
HKU,South Horizons,23 mins
HKU,Hin Keng,35 mins
HKU,Kai Tak,29 mins
HKU,Sung Wong Toi,27 mins
HKU,To Kwa Wan,25 mins
HKU,Exhibition Centre,15 mins
HKU,Che Kung Temple,35 mins
HKU,Sha Tin Wai,37 mins
HKU,City One,39 mins
HKU,Shek Mun,41 mins
HKU,Tai Shui Hang,44 mins
HKU,Heng On,46 mins
HKU,Ma On Shan,48 mins
HKU,Wu Kai Sha,51 mins
HKU,Austin,26 mins
HKU,Tsuen Wan West,34 mins
HKU,Kam Sheung Road,40 mins
HKU,Yuen Long,43 mins
HKU,Long Ping,45 mins
HKU,Tin Shui Wai,48 mins
HKU,Siu Hong,53 mins
HKU,Tuen Mun,55 mins
HKU,Hong Kong West Kowloon,28 mins
